Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Day,Month,Year,orderd_hours,orderd_minutes,picked_hours,picked_minutes,Delivery_time
22.0,4.0,12.316967,76.603067,12.376967,76.663067,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Urban,3,4,2022,23,30,23,35,18
33.0,4.4,23.369746,85.33982,23.479746,85.44982,Windy,Medium,0,Snack,motorcycle,2.0,Yes,Metropolitian,6,3,2022,17,15,17,30,44
32.0,4.7,12.986047,80.218114,13.066047,80.298114,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,31,3,2022,19,59,20,5,43
28.0,5.0,19.875337,75.316722,19.885337,75.326722,Stormy,Low,2,Buffet,electric_scooter,1.0,No,Urban,13,2,2022,9,50,10,0,17
21.0,4.6,18.56245,73.916619,18.67245,74.026619,Sandstorms,Low,2,Snack,scooter,1.0,No,Metropolitian,18,3,2022,22,55,23,5,16
33.0,4.9,19.1813,72.836191,19.1913,72.846191,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,3,3,2022,8,15,8,30,25
39.0,5.0,12.978453,77.643685,13.018453,77.683685,Cloudy,Medium,2,Meal,scooter,0.0,No,Metropolitian,15,3,2022,15,25,15,40,15
28.0,4.7,30.362686,78.06889,30.382686,78.08889,Sunny,Low,2,Buffet,scooter,0.0,No,Urban,15,2,2022,8,25,8,40,22
,,22.745049,75.892471,22.805049,75.952471,,,3,Buffet,scooter,1.0,No,Metropolitian,7,3,2022,18,31,22,45,13
32.0,4.4,0.0,0.0,0.13,0.13,Fog,Jam,1,Meal,motorcycle,,No,Metropolitian,12,3,2022,19,59,20,15,35
31.0,4.8,23.353783,85.326967,23.383783,85.356967,Sunny,Medium,2,Drinks,scooter,,No,Metropolitian,3,3,2022,17,55,18,10,19
22.0,4.6,23.354422,85.3329,23.414422,85.3929,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,3,2022,22,59,23,10,22
20.0,4.5,22.760072,75.892574,22.870072,76.002574,Windy,Medium,1,Drinks,scooter,0.0,No,Metropolitian,2,4,2022,18,35,18,50,20
29.0,4.9,30.342509,78.061187,30.382509,78.101187,Stormy,Medium,1,Buffet,motorcycle,0.0,No,Urban,11,2,2022,15,55,16,10,23
30.0,4.8,22.5491,88.400467,22.5791,88.430467,Sunny,Low,2,Meal,motorcycle,1.0,No,Metropolitian,13,2,2022,22,59,23,10,14
36.0,4.8,0.0,0.0,0.09,0.09,Sandstorms,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,20,3,2022,19,0,19,15,30
27.0,4.9,15.506205,73.766668,15.576205,73.836668,Windy,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,2,2022,17,40,17,45,18
26.0,4.8,12.972532,77.608179,13.032532,77.668179,Cloudy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,26,3,2022,24,0,24,15,11
39.0,4.8,13.066762,80.251865,13.106762,80.291865,Sunny,High,1,Meal,motorcycle,0.0,No,Metropolitian,7,3,2022,13,0,13,10,22
32.0,4.9,21.157729,72.768726,21.227729,72.838726,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,8,3,2022,19,20,19,35,41
31.0,4.7,23.359407,85.325055,23.439407,85.405055,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Urban,31,3,2022,19,59,20,15,46
24.0,4.9,23.374878,85.335739,23.464878,85.425739,Cloudy,Jam,2,Snack,scooter,1.0,No,Urban,2,3,2022,19,30,19,35,42
25.0,5.0,12.3085,76.665808,12.3285,76.685808,Stormy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,3,3,2022,12,0,12,15,35
20.0,4.8,12.975996,80.221898,13.045996,80.291898,Cloudy,Low,2,Meal,scooter,0.0,No,Urban,29,3,2022,23,10,23,20,21
35.0,4.4,27.157772,78.04725,27.237772,78.12725,Cloudy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,12,2,2022,20,25,20,35,36
23.0,4.7,26.483042,80.317833,26.543042,80.377833,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,11,2,2022,17,55,18,5,28
29.0,4.7,12.933284,77.615428,12.943284,77.625428,Sandstorms,High,1,Snack,motorcycle,0.0,No,Urban,21,3,2022,11,20,11,35,16
27.0,4.8,26.913726,75.75282,26.933726,75.77282,Stormy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,17,3,2022,8,15,8,20,19
37.0,4.6,11.006686,76.951736,11.066686,77.011736,Stormy,Jam,2,Buffet,motorcycle,1.0,No,Urban,9,3,2022,20,25,20,30,29
36.0,4.1,0.0,0.0,0.11,0.11,Sandstorms,Jam,1,Meal,scooter,1.0,No,Urban,16,3,2022,20,55,21,10,31
23.0,4.0,12.906229,77.596791,12.976229,77.666791,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,4,4,2022,19,45,19,55,37
38.0,4.8,23.333017,85.3172,23.393017,85.3772,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,21,3,2022,18,20,18,25,16
31.0,4.9,0.0,0.0,0.03,0.03,Sunny,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,5,4,2022,19,15,19,30,17
39.0,4.7,10.020683,76.310631,10.090683,76.380631,Stormy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,18,2,2022,17,30,17,35,21
27.0,4.5,18.994049,72.825203,19.054049,72.885203,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,3,4,2022,18,40,18,45,11
,,19.875908,75.358888,19.895908,75.378888,,,3,Snack,motorcycle,0.0,No,Metropolitian,15,2,2022,18,31,11,55,26
28.0,4.6,17.438263,78.397865,17.448263,78.407865,Stormy,High,2,Buffet,scooter,0.0,No,Metropolitian,28,3,2022,11,30,11,35,11
20.0,4.6,0.0,0.0,0.08,0.08,Fog,Medium,1,Drinks,scooter,1.0,No,Metropolitian,23,3,2022,17,35,17,45,27
36.0,4.6,11.026117,76.944652,11.076117,76.994652,Cloudy,Low,1,Drinks,scooter,1.0,No,Metropolitian,28,3,2022,22,20,22,25,19
38.0,4.4,11.02091,76.940432,11.03091,76.950432,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,21,3,2022,8,10,8,25,23
34.0,4.3,12.337978,76.616792,12.407978,76.686792,Cloudy,Jam,2,Buffet,motorcycle,0.0,No,Urban,6,4,2022,21,15,21,30,39
23.0,4.0,0.0,0.0,0.05,0.05,Cloudy,Jam,1,Buffet,scooter,1.0,No,Urban,13,2,2022,20,25,20,40,33
32.0,4.6,12.299524,76.64262,12.349524,76.69262,Windy,Jam,0,Snack,motorcycle,1.0,Yes,Semi-Urban,13,3,2022,19,10,19,15,48
38.0,4.2,22.753839,75.897429,22.793838,75.937429,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,24,3,2022,15,0,15,15,40
31.0,4.4,17.430448,78.418213,17.480448,78.468213,Sandstorms,Jam,2,Snack,scooter,1.0,No,Metropolitian,1,4,2022,21,25,21,35,34
20.0,4.7,12.325461,76.632278,12.405461,76.712278,Sandstorms,Low,1,Snack,scooter,0.0,No,Urban,29,3,2022,23,30,23,35,18
32.0,4.6,13.045479,80.23311,13.105479,80.29311,Windy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,17,3,2022,24,0,24,5,26
32.0,4.9,12.310972,76.659264,12.320972,76.669264,Windy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,15,3,2022,10,59,11,10,21
37.0,5.0,17.455894,78.375467,17.495894,78.415467,Stormy,High,1,Drinks,motorcycle,0.0,No,Urban,24,3,2022,14,55,15,0,26
20.0,4.9,19.091458,72.827808,19.101458,72.837808,Sandstorms,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,5,3,2022,8,10,8,25,12
27.0,4.7,22.307898,73.167788,22.377898,73.237788,Stormy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,23,3,2022,17,50,17,55,27
39.0,4.7,21.149834,72.778666,21.189834,72.818666,Sunny,High,1,Snack,motorcycle,1.0,No,Urban,30,3,2022,12,20,12,30,19
32.0,4.4,21.175975,72.795503,21.305975,72.925503,Stormy,Jam,1,Snack,scooter,2.0,No,Metropolitian,18,3,2022,20,40,20,50,40
37.0,4.2,19.065838,72.832658,19.105838,72.872658,Sandstorms,High,0,Snack,motorcycle,1.0,No,Urban,3,3,2022,12,20,12,30,43
29.0,4.9,12.979166,77.640709,13.089166,77.750709,Stormy,Jam,2,Buffet,scooter,0.0,No,Urban,8,3,2022,19,20,19,25,16
34.0,4.7,21.186438,72.794115,21.206438,72.814115,Stormy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,15,3,2022,11,55,12,10,34
23.0,4.9,12.981615,80.231598,12.991615,80.241598,Sandstorms,Low,1,Buffet,scooter,1.0,No,Urban,7,3,2022,8,55,9,5,12
21.0,4.9,17.428294,78.404423,17.438294,78.414423,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,3,4,2022,10,20,10,30,19
29.0,4.7,15.498603,73.826911,15.568603,73.896911,Windy,Low,1,Snack,motorcycle,1.0,No,Urban,12,2,2022,22,25,22,35,13
20.0,4.1,21.149834,72.778666,21.189834,72.818666,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,17,3,2022,13,45,13,59,33
23.0,4.9,17.426228,78.407495,17.556228,78.537495,Stormy,Medium,2,Meal,scooter,0.0,No,Metropolitian,2,4,2022,18,0,18,5,17
23.0,4.8,17.440827,78.393391,17.500827,78.453391,Windy,Jam,1,Buffet,motorcycle,0.0,No,Urban,1,3,2022,19,35,19,50,14
25.0,4.8,12.979096,77.640625,13.029096,77.690625,Sandstorms,Medium,2,Snack,scooter,1.0,No,Urban,15,3,2022,17,20,17,30,24
31.0,4.8,21.149834,72.778666,21.219834,72.848666,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,12,3,2022,17,25,17,35,29
28.0,4.6,26.921411,75.793604,27.031411,75.903604,Fog,Medium,1,Meal,scooter,1.0,No,Metropolitian,23,3,2022,17,15,17,20,37
20.0,,22.514585,88.39331,22.594585,88.47331,Fog,Low,2,Drinks,scooter,1.0,No,Metropolitian,14,2,2022,22,20,22,25,20
23.0,4.9,13.029198,77.570997,13.119198,77.660997,Cloudy,Low,0,Snack,motorcycle,0.0,No,Urban,16,3,2022,23,35,23,50,23
26.0,4.7,17.455894,78.375467,17.535894,78.455467,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,20,3,2022,18,45,19,0,28
34.0,4.9,26.849596,75.800512,26.979596,75.930512,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,29,3,2022,23,20,23,30,39
29.0,4.7,10.028047,76.310019,10.058047,76.340019,Stormy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,2,2022,22,50,22,59,15
35.0,4.8,25.453436,81.833167,25.483436,81.863167,Sunny,Jam,1,Drinks,scooter,1.0,No,Urban,17,2,2022,21,50,21,55,15
23.0,4.8,19.12663,72.829976,19.18663,72.889976,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Urban,5,4,2022,24,0,24,15,15
27.0,4.6,22.727021,75.884167,22.857021,76.014167,Fog,Jam,2,Snack,scooter,1.0,No,Metropolitian,2,3,2022,20,20,20,25,31
36.0,4.6,18.569156,73.774723,18.579156,73.784723,Cloudy,Low,1,Meal,motorcycle,1.0,No,,17,3,2022,10,40,10,55,19
31.0,4.2,0.0,0.0,0.08,0.08,Fog,Low,0,Drinks,motorcycle,2.0,No,Metropolitian,18,2,2022,22,40,22,55,38
35.0,4.1,13.064181,80.236442,13.154181,80.326442,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,12,3,2022,20,25,20,40,37
26.0,4.2,30.885915,75.788259,30.925915,75.828259,Stormy,High,0,Drinks,motorcycle,1.0,No,Urban,11,2,2022,14,45,15,0,38
33.0,5.0,-25.450317,81.831681,25.510317,81.891681,Fog,Jam,2,Buffet,motorcycle,1.0,No,Urban,13,2,2022,21,25,21,40,29
35.0,4.7,19.874733,75.353942,19.894733,75.373942,Fog,High,1,Meal,motorcycle,0.0,No,Urban,17,2,2022,11,10,11,25,33
23.0,4.6,19.221315,72.862381,19.271315,72.912381,Sunny,Jam,1,Buffet,scooter,0.0,No,Urban,9,3,2022,19,25,19,40,12
39.0,3.9,18.636215,73.751081,18.726215,73.841081,Sunny,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,10,3,2022,20,45,21,0,33
38.0,4.4,23.357804,85.325146,23.397804,85.365146,Fog,High,2,Snack,scooter,1.0,No,Metropolitian,5,3,2022,15,0,15,10,36
21.0,5.0,11.026117,76.944652,11.096117,77.014652,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,20,3,2022,22,45,22,55,25
28.0,4.7,19.1813,72.836191,19.2213,72.876191,Windy,High,2,Snack,electric_scooter,0.0,No,Metropolitian,5,3,2022,12,50,12,55,12
33.0,4.8,21.17106,72.789292,21.22106,72.839292,Stormy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,3,2022,20,55,21,0,26
39.0,4.9,26.463504,80.372929,26.533504,80.442929,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,14,2,2022,22,50,23,5,20
28.0,4.1,13.049645,80.242268,13.129645,80.322268,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,18,3,2022,19,50,19,55,44
39.0,4.8,22.651847,75.881991,22.691847,75.921991,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Urban,21,3,2022,16,25,16,30,26
22.0,4.5,11.022477,76.995667,11.062477,77.035667,Stormy,High,2,Buffet,scooter,1.0,No,Metropolitian,5,3,2022,13,20,13,30,10
36.0,5.0,26.913726,75.75282,27.043726,75.88282,Stormy,Jam,0,Drinks,motorcycle,2.0,Yes,Urban,12,3,2022,20,35,20,50,47
23.0,4.9,12.311072,76.654878,12.351072,76.694878,Sandstorms,High,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,3,2022,14,20,14,25,12
24.0,4.7,0.0,0.0,0.13,0.13,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,3,2022,22,25,22,30,24
29.0,4.7,22.514119,88.362504,22.584119,88.432504,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,16,2,2022,21,15,21,25,23
37.0,4.9,26.766536,75.837333,26.906536,75.977333,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,4,3,2022,17,30,17,35,36
28.0,4.8,21.185047,72.80859,21.225047,72.84859,Fog,High,2,Buffet,scooter,1.0,No,Metropolitian,1,4,2022,15,0,15,5,24
20.0,4.8,30.359722,78.067079,30.379722,78.087079,Stormy,High,0,Snack,motorcycle,,No,Metropolitian,13,2,2022,11,50,12,5,27
25.0,4.6,22.569358,88.433452,22.639358,88.503452,Fog,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,18,2,2022,19,59,20,10,41
33.0,5.0,18.516216,73.842527,18.556216,73.882527,Stormy,Medium,2,Drinks,scooter,0.0,No,Metropolitian,28,3,2022,16,50,16,59,29
21.0,4.8,13.026286,80.275235,13.086286,80.335235,Sunny,Low,0,Snack,motorcycle,0.0,No,Urban,13,3,2022,23,45,24,0,12
23.0,5.0,11.010375,76.95295,11.140375,77.08295,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,2,3,2022,20,25,20,35,32
23.0,4.6,17.458998,78.500366,17.498998,78.540366,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,24,3,2022,15,20,15,30,12
27.0,4.5,26.88842,75.800689,27.01842,75.930689,Cloudy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,2,3,2022,22,20,22,30,25
30.0,4.1,23.374989,85.335486,23.384989,85.345486,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,17,3,2022,11,40,11,55,32
35.0,4.9,0.0,0.0,0.05,0.05,Sunny,Jam,1,Buffet,scooter,1.0,No,Metropolitian,13,2,2022,21,0,21,10,22
24.0,4.5,23.357804,85.325146,23.427804,85.395146,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,4,3,2022,23,20,23,35,18
24.0,4.9,13.049645,80.242268,13.089645,80.282268,Stormy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,5,3,2022,15,50,16,0,20
27.0,4.0,12.323994,76.626167,12.383994,76.686167,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,28,3,2022,22,45,22,59,21
39.0,4.8,22.761226,75.887522,22.871226,75.997522,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,12,3,2022,17,30,17,35,21
29.0,4.7,12.913041,77.683237,13.003041,77.773237,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,4,3,2022,20,55,21,10,17
26.0,4.8,22.311844,73.165081,22.381844,73.235081,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31,3,2022,20,55,21,5,19
30.0,5.0,21.15276,72.778059,21.28276,72.908059,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,23,3,2022,17,10,17,15,37
24.0,2.6,23.351058,85.325731,23.481058,85.455731,Sunny,Low,1,Drinks,scooter,1.0,No,,27,3,2022,23,25,23,35,36
35.0,4.7,23.353783,85.326967,23.373783,85.346967,Windy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,1,4,2022,10,50,11,5,23
37.0,4.9,18.51421,73.838429,18.57421,73.898429,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,28,3,2022,19,55,20,5,30
34.0,5.0,19.866969,75.318894,19.926969,75.378894,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Urban,15,2,2022,19,59,20,10,28
35.0,4.1,22.753659,75.903365,22.803659,75.953365,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,24,3,2022,19,35,19,45,38
36.0,5.0,17.483216,78.552111,17.543216,78.612111,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,21,3,2022,18,50,19,0,30
37.0,4.6,22.527893,88.368628,22.637893,88.478628,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,16,2,2022,21,25,21,35,48
27.0,4.9,17.428294,78.404423,17.438294,78.414423,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,1,3,2022,10,0,10,10,19
20.0,4.6,12.284747,76.625861,12.394747,76.735861,Cloudy,Medium,0,Snack,motorcycle,2.0,No,Metropolitian,6,3,2022,18,35,18,40,43
25.0,4.7,12.979166,77.640709,13.089166,77.750709,Sandstorms,Jam,2,Meal,electric_scooter,0.0,No,Urban,14,3,2022,19,25,19,30,15
26.0,4.5,26.902908,75.792934,27.012908,75.902934,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,6,4,2022,20,15,20,20,21
35.0,5.0,12.970221,77.645396,13.030221,77.705396,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,28,3,2022,23,10,23,25,22
22.0,4.9,26.914142,75.805704,26.954142,75.845704,Sandstorms,High,0,Drinks,motorcycle,0.0,No,Metropolitian,17,3,2022,13,40,13,45,23
29.0,4.9,0.0,0.0,0.04,0.04,Cloudy,High,1,Snack,motorcycle,0.0,No,Metropolitian,7,3,2022,13,20,13,35,23
28.0,4.9,13.02978,80.208812,13.13978,80.318812,Windy,Jam,2,Buffet,electric_scooter,1.0,No,Urban,14,3,2022,20,40,20,50,15
23.0,4.8,22.31279,73.170283,22.42279,73.280283,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,29,3,2022,19,35,19,45,32
36.0,4.0,11.022298,76.998349,11.032298,77.008349,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,7,3,2022,8,25,8,35,28
22.0,4.8,21.149569,72.772697,21.199569,72.822697,Sandstorms,Jam,0,Buffet,motorcycle,0.0,No,Urban,5,3,2022,19,20,19,30,23
35.0,5.0,18.593481,73.785901,18.723481,73.915901,Windy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,2,4,2022,21,50,21,55,27
33.0,4.6,27.160934,78.044095,27.240934,78.124095,Sunny,Medium,2,Snack,scooter,1.0,No,Urban,16,2,2022,18,20,18,25,25
39.0,4.5,21.186438,72.794115,21.316438,72.924115,Sandstorms,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,4,4,2022,17,40,17,50,26
27.0,4.7,26.910262,75.783013,27.020262,75.893013,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,16,3,2022,19,15,19,25,27
29.0,4.8,12.284747,76.625861,12.294747,76.635861,Sandstorms,High,2,Meal,scooter,,No,Metropolitian,1,4,2022,12,0,12,15,29
31.0,4.7,12.979166,77.640709,13.029166,77.690709,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,7,3,2022,23,25,23,35,16
20.0,2.6,12.337928,76.617889,12.467928,76.747889,Sunny,Low,1,Drinks,scooter,1.0,No,Metropolitian,27,3,2022,23,15,23,30,43
33.0,4.6,26.913726,75.75282,26.943726,75.78282,Fog,Low,1,Meal,scooter,1.0,No,Metropolitian,1,3,2022,22,15,22,30,16
20.0,4.6,25.449659,81.839744,25.469659,81.859744,Sunny,Low,0,Snack,motorcycle,0.0,No,Urban,17,2,2022,9,30,9,45,11
31.0,4.9,12.323978,76.627961,12.373978,76.677961,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,28,3,2022,21,40,21,45,29
35.0,5.0,18.55144,73.804855,18.60144,73.854855,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,17,3,2022,22,35,22,50,25
20.0,4.6,12.352058,76.60665,12.422058,76.67665,Stormy,Low,1,Meal,motorcycle,0.0,No,Urban,20,3,2022,23,20,23,35,17
,,21.157729,72.768726,21.187729,72.798726,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,1,4,2022,18,31,17,40,19
38.0,4.7,30.346994,78.062543,30.436994,78.152543,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,16,2,2022,19,59,20,10,44
20.0,4.8,0.0,0.0,0.02,0.02,Windy,Low,1,Drinks,scooter,1.0,No,Urban,28,3,2022,10,20,10,25,15
24.0,4.8,26.905287,75.794592,26.985287,75.874592,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,4,3,2022,17,55,18,10,32
26.0,4.3,22.308096,73.167753,22.338096,73.197753,Cloudy,Jam,2,Meal,scooter,1.0,No,Metropolitian,5,3,2022,19,30,19,45,33
29.0,5.0,18.546947,73.900626,18.626947,73.980626,Stormy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,4,3,2022,23,10,23,15,17
